filing_number,service_type,active_agreements,mutual_partners,years_collaborating,completeness_score,filing_year,col_direction,participant_1,participant_2,bonding_dum,service_contract
M509179,Police Protection,1,0,0,7,2016,Horizontal,Clinton City,Clinton Community School District,No,Yes
M509180,Emergency Management,2,19,16.60555556,3,2016,Vertical,Dakota City,Humboldt County,Yes,Yes
M509182,Police Protection,2,10,6.158333333,5,2016,Vertical,Floyd County,Rockford City,Yes,Yes
M509197,Police Protection,9,8,17.875,2,2016,Vertical,Maurice City,Sioux County,Yes,Yes
M509204,Jail and Corrections,1,1,0.013888889,5,2016,Vertical,Fremont County,Tabor City,Yes,No
M509219,Fire Response,1,0,0,5,2016,Horizontal,Cleona Township (Scott County),Durant City,No,Yes
M509299,Criminal Investigation,1,0,0,5,2016,Vertical,Iowa Department of Inspections and Appeals,Marshalltown Rent Assistance Program,No,No
M509300,Criminal Investigation,1,0,0,5,2016,Vertical,Iowa Department of Inspections and Appeals,Ottumwa Housing Authority,No,No
M509366,Criminal Investigation,1,0,0,1,2016,Horizontal,Marshalltown City,Mid-Iowa Drug Task Force,No,No
M509377,Police Protection,13,32,14.36666667,5,2016,Vertical,Clutier City,Tama County Sheriff,Yes,Yes
M509504,Police Protection,3,11,22.375,5,2016,Vertical,Alta City,Buena Vista County,Yes,Yes
M509637,Police Protection,3,6,16.68888889,7,2016,Horizontal,Lisbon City,Mount Vernon City,Yes,Yes
M509702,Fire Response,1,0,0,4,2017,Horizontal,Pacific Junction City,Tabor City,No,No
M509707,Criminal Investigation,2,0,0.905555556,5,2017,Vertical,Iowa Department of Inspections and Appeals,Municipal Housing Agency of Centerville,No,No
M509708,Police Protection,4,8,23.71944444,3,2017,Vertical,Cass County,Griswold City,Yes,Yes
M509732,Fire Response,2,10,10.88333333,2,2017,Horizontal,Halbur City,Templeton City,Yes,No
M509777,Criminal Investigation,1,1,0.983333333,5,2017,Vertical,Cedar Rapids Housing Services,Iowa Department of Inspections and Appeals,Yes,No
M509778,Criminal Investigation,1,2,0,5,2017,Vertical,Iowa Department of Inspections and Appeals,Mason City Housing Authority,Yes,No
M509781,Criminal Investigation,1,0,0,5,2017,Vertical,Iowa Department of Inspections and Appeals,Warren County Housing Authority,No,No
M509782,Criminal Investigation,2,0,0.969444444,5,2017,Vertical,Iowa Department of Inspections and Appeals,Muscatine Municipal Housing Agency,No,No
M509789,Criminal Investigation,1,1,0.930555556,5,2017,Vertical,Charles City Housing and Redevelopment Authority,Iowa Department of Inspections and Appeals,Yes,No
M509802,Fire Response,3,1,11.05,2,2017,Horizontal,Essex City,Imogene City,Yes,Yes
M509899,Police Protection,24,14,24.05277778,3,2017,Vertical,Collins City,Story County Sheriff,Yes,Yes
M509955,Police Protection,1,0,4.941666667,3,2017,Vertical,Jones County,Onslow City,No,Yes
M509999,Criminal Investigation,2,1,0.902777778,5,2017,Vertical,Iowa City,Iowa Department of Inspections and Appeals,Yes,No
M510000,Criminal Investigation,1,0,0.902777778,5,2017,Vertical,Albia Housing Agency,Iowa Department of Inspections and Appeals,No,No
M510001,Criminal Investigation,1,0,0.916666667,5,2017,Vertical,Fort Dodge Housing Agency,Iowa Department of Inspections and Appeals,No,No
M510004,Criminal Investigation,2,0,0.947222222,5,2017,Vertical,Iowa Department of Inspections and Appeals,Oskaloosa Municipal Housing Agency,No,No
M510030,Police Protection,6,6,14.89444444,2,2017,Vertical,Albion City,Marshall County,Yes,Yes
M510048,Police Protection,3,1,3.858333333,6,2017,Vertical,Audubon County Sheriff,Exira City,Yes,Yes
M510075,Criminal Investigation,2,0,0.983333333,5,2017,Vertical,Iowa Department of Inspections and Appeals,North Iowa Regional Housing Authority,No,No
M510147,Criminal Investigation,2,1,1.563888889,5,2017,Vertical,Cedar Rapids City,Iowa Department of Inspections and Appeals,Yes,No
M510162,Criminal Investigation,2,0,0.911111111,5,2017,Vertical,Iowa Department of Inspections and Appeals,Ottumwa Housing Authority,No,No
M510166,Police Protection,3,21,16.42222222,3,2017,Vertical,Forest City,Winnebago County,Yes,Yes
M510167,Criminal Investigation,1,0,0,5,2017,Vertical,Iowa Department of Inspections and Appeals,Region XII Regional Housing Authority,No,No
M510176,Jail and Corrections,1,0,2.044444444,6,2017,Vertical,Farragut City,Fremont County,No,Yes
M510178,Police Protection,1,1,2.044444444,6,2017,Vertical,Fremont County,Randolph City,Yes,Yes
M510183,Fire Response,3,14,2.997222222,3,2017,Horizontal,Colo City,Nevada City,Yes,No
M510185,Police Protection,2,10,23.23888889,3,2017,Vertical,Buena Vista County,Truesdale City,Yes,Yes
M510244,Police Protection,1,0,1.802777778,8,2017,Vertical,North Polk Community School District,Polk County,No,Yes
M510272,Criminal Investigation,1,0,0,5,2017,Vertical,Iowa Department of Inspections and Appeals,Pleasant Township (Lucas County),No,No
M510277,Police Protection,3,5,21.68611111,3,2017,Vertical,Jackson County,Maquoketa City,Yes,No
M510349,Police Protection,2,1,16.22222222,5,2017,Horizontal,Milford City,West Okoboji City,Yes,Yes
M510399,Criminal Investigation,2,0,1.794444444,5,2017,Vertical,Iowa Department of Inspections and Appeals,Municipal Housing Agency of Centerville,No,No
M510547,Emergency Management,3,32,11.77777778,6,2017,Horizontal,Gladbrook City,Spring Creek Township (Tama County),Yes,Yes
M510550,Emergency Management,4,32,5.772222222,5,2017,Horizontal,Gladbrook City,Lincoln City,Yes,Yes
M510577,Criminal Investigation,1,0,0,5,2017,Vertical,Iowa Department of Inspections and Appeals,Scott Township (Johnson County),No,No
